"Name","Code","Year","Current Gross Export","Sector"
"Textiles, garments, footwear and furniture","0 HS92","1995","$7.36B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1996","$7.32B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1997","$7.13B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1998","$7.06B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1999","$6.87B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2000","$5.92B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2001","$6.12B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2002","$6.35B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2003","$7.23B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2004","$7.64B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2005","$7.24B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2006","$7.48B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2007","$8.46B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2008","$9.06B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2009","$7.61B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2010","$7.90B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2011","$9.68B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2012","$8.56B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2013","$9.62B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2014","$10.3B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2015","$9.03B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2016","$9.31B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2017","$9.56B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2018","$10.4B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2019","$10.0B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2020","$9.01B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2021","$10.6B","Textiles"
"Vegetables, animals, wood and paper","1 HS92","1995","$4.35B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1996","$4.11B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1997","$4.09B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1998","$4.12B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1999","$4.10B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2000","$4.17B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2001","$4.18B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2002","$4.65B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2003","$5.57B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2004","$6.38B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2005","$6.75B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2006","$7.69B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2007","$9.27B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2008","$10.7B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2009","$9.20B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2010","$10.1B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2011","$11.7B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2012","$11.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2013","$12.3B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2014","$12.8B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2015","$11.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2016","$11.0B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2017","$12.0B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2018","$13.7B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2019","$13.0B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2020","$12.8B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2021","$15.3B","Agriculture"
"Stone, glass and ceramics","2 HS92","1995","$1.02B","Stone"
"Stone, glass and ceramics","2 HS92","1996","$974M","Stone"
"Stone, glass and ceramics","2 HS92","1997","$1.02B","Stone"
"Stone, glass and ceramics","2 HS92","1998","$977M","Stone"
"Stone, glass and ceramics","2 HS92","1999","$948M","Stone"
"Stone, glass and ceramics","2 HS92","2000","$878M","Stone"
"Stone, glass and ceramics","2 HS92","2001","$875M","Stone"
"Stone, glass and ceramics","2 HS92","2002","$931M","Stone"
"Stone, glass and ceramics","2 HS92","2003","$1.13B","Stone"
"Stone, glass and ceramics","2 HS92","2004","$1.33B","Stone"
"Stone, glass and ceramics","2 HS92","2005","$1.37B","Stone"
"Stone, glass and ceramics","2 HS92","2006","$1.50B","Stone"
"Stone, glass and ceramics","2 HS92","2007","$1.82B","Stone"
"Stone, glass and ceramics","2 HS92","2008","$2.03B","Stone"
"Stone, glass and ceramics","2 HS92","2009","$1.81B","Stone"
"Stone, glass and ceramics","2 HS92","2010","$2.01B","Stone"
"Stone, glass and ceramics","2 HS92","2011","$2.84B","Stone"
"Stone, glass and ceramics","2 HS92","2012","$2.74B","Stone"
"Stone, glass and ceramics","2 HS92","2013","$2.50B","Stone"
"Stone, glass and ceramics","2 HS92","2014","$2.30B","Stone"
"Stone, glass and ceramics","2 HS92","2015","$1.95B","Stone"
"Stone, glass and ceramics","2 HS92","2016","$2.05B","Stone"
"Stone, glass and ceramics","2 HS92","2017","$2.18B","Stone"
"Stone, glass and ceramics","2 HS92","2018","$2.30B","Stone"
"Stone, glass and ceramics","2 HS92","2019","$2.17B","Stone"
"Stone, glass and ceramics","2 HS92","2020","$2.04B","Stone"
"Stone, glass and ceramics","2 HS92","2021","$2.37B","Stone"
"Minerals, fuels, ores and salts","3 HS92","1995","$1.36B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","1996","$1.06B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","1997","$849M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","1998","$726M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","1999","$800M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2000","$732M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2001","$630M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2002","$628M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2003","$935M","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2004","$1.22B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2005","$2.07B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2006","$2.91B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2007","$3.33B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2008","$4.29B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2009","$2.86B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2010","$4.01B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2011","$5.19B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2012","$5.57B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2013","$7.30B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2014","$6.42B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2015","$5.08B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2016","$4.06B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2017","$5.04B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2018","$5.83B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2019","$3.76B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2020","$3.07B","Minerals"
"Minerals, fuels, ores and salts","3 HS92","2021","$4.86B","Minerals"
"Metals","4 HS92","1995","$909M","Metals"
"Metals","4 HS92","1996","$934M","Metals"
"Metals","4 HS92","1997","$932M","Metals"
"Metals","4 HS92","1998","$1.07B","Metals"
"Metals","4 HS92","1999","$1.15B","Metals"
"Metals","4 HS92","2000","$1.20B","Metals"
"Metals","4 HS92","2001","$1.21B","Metals"
"Metals","4 HS92","2002","$1.37B","Metals"
"Metals","4 HS92","2003","$1.69B","Metals"
"Metals","4 HS92","2004","$2.38B","Metals"
"Metals","4 HS92","2005","$2.70B","Metals"
"Metals","4 HS92","2006","$3.39B","Metals"
"Metals","4 HS92","2007","$4.16B","Metals"
"Metals","4 HS92","2008","$4.64B","Metals"
"Metals","4 HS92","2009","$3.23B","Metals"
"Metals","4 HS92","2010","$3.78B","Metals"
"Metals","4 HS92","2011","$4.62B","Metals"
"Metals","4 HS92","2012","$4.51B","Metals"
"Metals","4 HS92","2013","$4.62B","Metals"
"Metals","4 HS92","2014","$4.78B","Metals"
"Metals","4 HS92","2015","$3.85B","Metals"
"Metals","4 HS92","2016","$3.83B","Metals"
"Metals","4 HS92","2017","$4.55B","Metals"
"Metals","4 HS92","2018","$5.23B","Metals"
"Metals","4 HS92","2019","$4.69B","Metals"
"Metals","4 HS92","2020","$4.35B","Metals"
"Metals","4 HS92","2021","$6.32B","Metals"
"Chemicals and plastics","5 HS92","1995","$1.49B","Chemicals"
"Chemicals and plastics","5 HS92","1996","$1.52B","Chemicals"
"Chemicals and plastics","5 HS92","1997","$1.59B","Chemicals"
"Chemicals and plastics","5 HS92","1998","$1.63B","Chemicals"
"Chemicals and plastics","5 HS92","1999","$1.70B","Chemicals"
"Chemicals and plastics","5 HS92","2000","$1.82B","Chemicals"
"Chemicals and plastics","5 HS92","2001","$1.84B","Chemicals"
"Chemicals and plastics","5 HS92","2002","$2.12B","Chemicals"
"Chemicals and plastics","5 HS92","2003","$2.80B","Chemicals"
"Chemicals and plastics","5 HS92","2004","$3.52B","Chemicals"
"Chemicals and plastics","5 HS92","2005","$3.82B","Chemicals"
"Chemicals and plastics","5 HS92","2006","$4.18B","Chemicals"
"Chemicals and plastics","5 HS92","2007","$5.18B","Chemicals"
"Chemicals and plastics","5 HS92","2008","$5.75B","Chemicals"
"Chemicals and plastics","5 HS92","2009","$4.73B","Chemicals"
"Chemicals and plastics","5 HS92","2010","$5.75B","Chemicals"
"Chemicals and plastics","5 HS92","2011","$7.27B","Chemicals"
"Chemicals and plastics","5 HS92","2012","$6.85B","Chemicals"
"Chemicals and plastics","5 HS92","2013","$7.46B","Chemicals"
"Chemicals and plastics","5 HS92","2014","$7.60B","Chemicals"
"Chemicals and plastics","5 HS92","2015","$6.48B","Chemicals"
"Chemicals and plastics","5 HS92","2016","$6.63B","Chemicals"
"Chemicals and plastics","5 HS92","2017","$7.35B","Chemicals"
"Chemicals and plastics","5 HS92","2018","$8.23B","Chemicals"
"Chemicals and plastics","5 HS92","2019","$8.30B","Chemicals"
"Chemicals and plastics","5 HS92","2020","$7.77B","Chemicals"
"Chemicals and plastics","5 HS92","2021","$9.96B","Chemicals"
"Transport vehicles","6 HS92","1995","$2.07B","Vehicles"
"Transport vehicles","6 HS92","1996","$3.21B","Vehicles"
"Transport vehicles","6 HS92","1997","$3.45B","Vehicles"
"Transport vehicles","6 HS92","1998","$3.64B","Vehicles"
"Transport vehicles","6 HS92","1999","$3.69B","Vehicles"
"Transport vehicles","6 HS92","2000","$3.59B","Vehicles"
"Transport vehicles","6 HS92","2001","$3.58B","Vehicles"
"Transport vehicles","6 HS92","2002","$3.99B","Vehicles"
"Transport vehicles","6 HS92","2003","$4.94B","Vehicles"
"Transport vehicles","6 HS92","2004","$5.38B","Vehicles"
"Transport vehicles","6 HS92","2005","$5.09B","Vehicles"
"Transport vehicles","6 HS92","2006","$5.63B","Vehicles"
"Transport vehicles","6 HS92","2007","$5.91B","Vehicles"
"Transport vehicles","6 HS92","2008","$6.81B","Vehicles"
"Transport vehicles","6 HS92","2009","$4.79B","Vehicles"
"Transport vehicles","6 HS92","2010","$5.74B","Vehicles"
"Transport vehicles","6 HS92","2011","$7.42B","Vehicles"
"Transport vehicles","6 HS92","2012","$6.47B","Vehicles"
"Transport vehicles","6 HS92","2013","$6.33B","Vehicles"
"Transport vehicles","6 HS92","2014","$6.66B","Vehicles"
"Transport vehicles","6 HS92","2015","$5.81B","Vehicles"
"Transport vehicles","6 HS92","2016","$5.69B","Vehicles"
"Transport vehicles","6 HS92","2017","$6.72B","Vehicles"
"Transport vehicles","6 HS92","2018","$9.22B","Vehicles"
"Transport vehicles","6 HS92","2019","$10.4B","Vehicles"
"Transport vehicles","6 HS92","2020","$8.90B","Vehicles"
"Transport vehicles","6 HS92","2021","$9.54B","Vehicles"
"Machinery and instruments","7 HS92","1995","$1.55B","Machinery"
"Machinery and instruments","7 HS92","1996","$1.47B","Machinery"
"Machinery and instruments","7 HS92","1997","$1.42B","Machinery"
"Machinery and instruments","7 HS92","1998","$1.57B","Machinery"
"Machinery and instruments","7 HS92","1999","$1.73B","Machinery"
"Machinery and instruments","7 HS92","2000","$1.72B","Machinery"
"Machinery and instruments","7 HS92","2001","$1.94B","Machinery"
"Machinery and instruments","7 HS92","2002","$2.27B","Machinery"
"Machinery and instruments","7 HS92","2003","$3.00B","Machinery"
"Machinery and instruments","7 HS92","2004","$3.55B","Machinery"
"Machinery and instruments","7 HS92","2005","$3.80B","Machinery"
"Machinery and instruments","7 HS92","2006","$4.07B","Machinery"
"Machinery and instruments","7 HS92","2007","$4.42B","Machinery"
"Machinery and instruments","7 HS92","2008","$4.92B","Machinery"
"Machinery and instruments","7 HS92","2009","$3.97B","Machinery"
"Machinery and instruments","7 HS92","2010","$3.89B","Machinery"
"Machinery and instruments","7 HS92","2011","$4.63B","Machinery"
"Machinery and instruments","7 HS92","2012","$4.76B","Machinery"
"Machinery and instruments","7 HS92","2013","$5.35B","Machinery"
