"Name","Code","Year","Current Gross Export","Sector"
"Textiles, garments, footwear and furniture","0 HS92","1995","$7.27B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1996","$8.30B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1997","$8.95B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1998","$9.36B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","1999","$9.29B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2000","$8.96B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2001","$9.46B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2002","$10.4B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2003","$12.0B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2004","$13.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2005","$13.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2006","$14.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2007","$16.4B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2008","$17.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2009","$16.2B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2010","$16.5B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2011","$19.2B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2012","$18.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2013","$21.6B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2014","$23.5B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2015","$21.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2016","$22.9B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2017","$25.3B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2018","$26.2B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2019","$24.0B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2020","$21.1B","Textiles"
"Textiles, garments, footwear and furniture","0 HS92","2021","$26.5B","Textiles"
"Vegetables, animals, wood and paper","1 HS92","1995","$18.5B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1996","$20.5B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1997","$21.9B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1998","$21.6B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","1999","$21.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2000","$20.6B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2001","$22.5B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2002","$25.1B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2003","$30.6B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2004","$34.5B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2005","$35.3B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2006","$37.9B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2007","$44.6B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2008","$50.4B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2009","$44.6B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2010","$47.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2011","$54.0B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2012","$54.1B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2013","$58.7B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2014","$60.8B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2015","$54.9B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2016","$57.9B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2017","$62.7B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2018","$66.2B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2019","$66.4B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2020","$69.6B","Agriculture"
"Vegetables, animals, wood and paper","1 HS92","2021","$80.7B","Agriculture"
"Stone, glass and ceramics","2 HS92","1995","$3.54B","Stone"
"Stone, glass and ceramics","2 HS92","1996","$3.79B","Stone"
"Stone, glass and ceramics","2 HS92","1997","$3.91B","Stone"
"Stone, glass and ceramics","2 HS92","1998","$4.16B","Stone"
"Stone, glass and ceramics","2 HS92","1999","$4.24B","Stone"
"Stone, glass and ceramics","2 HS92","2000","$4.00B","Stone"
"Stone, glass and ceramics","2 HS92","2001","$4.15B","Stone"
"Stone, glass and ceramics","2 HS92","2002","$4.48B","Stone"
"Stone, glass and ceramics","2 HS92","2003","$5.12B","Stone"
"Stone, glass and ceramics","2 HS92","2004","$5.60B","Stone"
"Stone, glass and ceramics","2 HS92","2005","$5.75B","Stone"
"Stone, glass and ceramics","2 HS92","2006","$6.44B","Stone"
"Stone, glass and ceramics","2 HS92","2007","$7.45B","Stone"
"Stone, glass and ceramics","2 HS92","2008","$7.75B","Stone"
"Stone, glass and ceramics","2 HS92","2009","$6.44B","Stone"
"Stone, glass and ceramics","2 HS92","2010","$7.90B","Stone"
"Stone, glass and ceramics","2 HS92","2011","$11.0B","Stone"
"Stone, glass and ceramics","2 HS92","2012","$11.1B","Stone"
"Stone, glass and ceramics","2 HS92","2013","$10.8B","Stone"
"Stone, glass and ceramics","2 HS92","2014","$9.36B","Stone"
"Stone, glass and ceramics","2 HS92","2015","$8.59B","Stone"
